fired_at,pair,direction,entry,sl,tp1,tp2,rr_tp1,rr_tp2,sl_pips,zone_src,session,sweep_time
2026-05-21 20:30 UTC,GBPJPY,short,213.65191,213.80086,213.42848,213.07624,1.5,3.86,14.9,BSL_12touch,London,2026-05-21 19:00 UTC
2026-05-21 21:00 UTC,AUDJPY,long,113.37414,113.23631,113.58088,113.67994,1.5,2.22,13.8,SSL_14touch,London,2026-05-21 20:15 UTC
2026-05-22 08:00 UTC,EURUSD,long,1.16202,1.16144,1.16289,1.16349,1.5,2.53,5.8,SSL_19touch,London,2026-05-22 07:00 UTC
2026-05-22 08:00 UTC,USDJPY,short,158.96967,159.0286,158.88128,158.82485,1.5,2.46,5.9,BSL_8touch,London,2026-05-22 07:00 UTC
2026-05-22 08:00 UTC,GBPJPY,short,213.56301,213.62888,213.4642,213.39797,1.5,2.51,6.6,BSL_7touch,London,2026-05-22 07:00 UTC
2026-05-22 08:15 UTC,USDJPY,long,158.98525,158.94259,159.04924,159.0807,1.5,2.24,4.3,SSL_3touch,London,2026-05-22 07:00 UTC
2026-05-22 12:00 UTC,EURUSD,long,1.16202,1.16144,1.16289,1.16349,1.5,2.53,5.8,SSL_19touch,London,2026-05-22 10:15 UTC
2026-05-22 12:00 UTC,USDJPY,short,158.96967,159.0286,158.88128,158.82485,1.5,2.46,5.9,BSL_8touch,London,2026-05-22 10:45 UTC
2026-05-22 12:00 UTC,GBPJPY,short,213.56301,213.62888,213.4642,213.39797,1.5,2.51,6.6,BSL_7touch,London,2026-05-22 10:00 UTC
2026-05-22 13:45 UTC,XAUUSD,long,4525.31805,4518.36838,4535.74255,4542.56382,1.5,2.48,69.5,SSL_3touch,NewYork,2026-05-22 11:00 UTC
2026-05-22 16:00 UTC,EURUSD,short,1.16121,1.16179,1.16034,1.15926,1.5,3.36,5.8,BSL_2touch,NewYork,2026-05-22 15:00 UTC
2026-05-22 16:00 UTC,GBPJPY,short,213.63135,213.7025,213.52463,213.46036,1.5,2.4,7.1,BSL_6touch,NewYork,2026-05-22 15:00 UTC
2026-05-22 16:30 UTC,AUDJPY,short,113.56337,113.63689,113.45309,113.41456,1.5,2.02,7.4,BSL_16touch,NewYork,2026-05-22 15:00 UTC
2026-05-22 16:30 UTC,XAUUSD,long,4517.44612,4509.17175,4529.85767,4542.56382,1.5,3.04,82.7,SSL_3touch,NewYork,2026-05-22 15:45 UTC
2026-05-22 16:30 UTC,GBPAUD,long,1.88084,1.87948,1.88288,1.88524,1.5,3.24,13.6,SSL_4touch,NewYork,2026-05-22 15:00 UTC
2026-05-22 18:15 UTC,GBPUSD,long,1.34251,1.34208,1.34316,1.34362,1.5,2.58,4.3,SSL_5touch,London,2026-05-22 17:15 UTC
2026-05-22 19:15 UTC,EURUSD,short,1.16041,1.16123,1.15918,1.15833,1.5,2.54,8.2,BSL_3touch,London,2026-05-22 19:00 UTC
2026-05-22 19:15 UTC,EURJPY,short,184.62676,184.73481,184.46468,184.39701,1.5,2.13,10.8,BSL_16touch,London,2026-05-22 19:00 UTC
